url,product_name,quantity,packaging,brands,categories_en,labels_en,stores,countries_en,ingredients_text,serving_size,main_category_en,image_url,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g
http://world-en.openfoodfacts.org/product/2000000009759/colin-d-alaska-a-la-provencale-surgele-golden-seafood,Colin d'Alaska à la provençale surgelé ,"450 g (2 x 225 g) [même code barre 26053325 que colin d'Alaska  à la parisienne et Colin d'Alaska Sauce Oseille, voir 2000000033609]","Surgelé,Boîte,Carton,Sachet plastique,Sous-vide,2 Sachets Individuels","Golden Seafood,Aldi Einkauf GmbH & Compagnie-oHG","Frozen foods,Meals,Microwave meals,Frozen ready-made meals,fr:Colins-d-alaska-a-la-provencale,fr:Colins-prepares,fr:Plats-prepares-a-rechauffer-au-bain-marie,fr:Poissons-prepares","Sustainable fishery,Green Dot,Sustainable Seafood MSC,fr:C-bv-667461-fr,fr:Eco-emballages,fr:Elabore-en-france,fr:Qualite-sans-arete",Aldi,France,"_Colin_ d'Alaska 50 %(_poisson_)(Theragra chalcogramma), tomates 24 % (tomates pelées et jus de tomates), oignons 9 %, eau, concentré de tomates, vin blanc, poivrons rouges 1,5 %, poivrons verts 1,5 %, sucre, sel, huile d'olive 0,5 %, ail, basilic 0,2 %, persil, jus de citron, arôme.",225 g (1 sachet),Frozen foods,http://en.openfoodfacts.org/images/products/200/000/000/9759/front.10.400.jpg,238.0,0.8,0.2,3.0,2.2,0.7,8.9,0.73,0.287401575,
http://world-en.openfoodfacts.org/product/2000000014607/galettes-de-riz-complet-au-chocolat-au-lait-migros-bio,Galettes de riz complet au chocolat au lait ,"40g, 4 pièces ",Emballage de 3 sachets de 4 galettes de riz,Migros Bio,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes","fr:Certification-bio-be-bio-02,fr:Label-de-qualite-aha-centre-d-allergie-suisse",Migros,Switzerland," Galettes de rîz complet bio enrobées de chocolat au lait, sans gluten. Ingrédients: chocolat au lait 52% (sucre, beurre de cacao, lait entier en poudre, cacao en pâte, arôme naturel de vanille), riz complet 48%.  ",4 galettes = 40g,Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/200/000/001/4607/front.4.400.jpg,2080.0,22.5,15.0,65.0,27.5,2.5,7.5,0.254,0.1,
http://world-en.openfoodfacts.org/product/2000000016715/pepito-pepites-lu,Pepito pepites,10*30g,carton de 10 puis gateau sous vide,LU,"Sugary snacks,Biscuits and cakes,Desserts,Cakes",Charte-lu-harmony-70-du-ble-cultive-selon-cette-charte,Dagort,Saint Pierre and Miquelon,"farine de _blé_ 23.6%, pépites de chocolat 18.6% [pâte de cacao, sucre, émulsifiant, (lécithine de soja)], huile de palme, oeuf, sucre, sirop de glucose-fructose, stabilisant (glycérol), poudre à lever, (diphosphate disodique, carbonate acide de sodium), sel, épaississant (gomme xanthane), sirop de glucose, émulsifiants (E472b, E475), arôme, lait écrémé en poudre.",30 g,Sugary snacks,http://en.openfoodfacts.org/images/products/200/000/001/6715/front.3.400.jpg,1850.0,24.0,11.0,50.0,28.0,3.0,5.0,0.833,0.328,
http://world-en.openfoodfacts.org/product/2000000017631/mc-chicken-mcdonald-s,Mc Chicken,195 g,"Carton,Boîte,Pap 21",McDonald's,"Sandwiches,Hamburgers,Chicken-burgers",,McDonald's,France,"Spécialité panée au poulet, salade croquante, sauce légèrement citronnée. Allergènes en quantités inconnues : _Gluten_ (_blé_, _orge_), _Graine de sésame_, _Lait_, _Moutarde_, _ufs_. ",195 g,Sandwiches,http://en.openfoodfacts.org/images/products/200/000/001/7631/front.16.400.jpg,953.0,9.74,1.18,23.1,3.28,1.38,10.8,0.974,0.384,
http://world-en.openfoodfacts.org/product/2000000017753/haltbare-vollmilch-milbona,Haltbare Vollmilch,1 l,"Tetra Pak,VerpackV-84",Milbona,"Dairies,Milks,Homogenized milks,Pasteurised milks,UHT milks,Whole milks","German Agricultural Society,FSC,de:DLG Jährlich Prämiert,FSC-C014047,FSC Mix",LIDL,Germany,Vollmilch,250 ml,Dairies,http://en.openfoodfacts.org/images/products/200/000/001/7753/front.8.400.jpg,273.0,3.6,2.4,4.8,4.8,,3.4,0.13,0.051181102,
http://world-en.openfoodfacts.org/product/2000000017906/pizza-cuite-sur-pierre-margherita-trattoria-alfredo,Pizza cuite sur pierre Margherita,3*300 g,"Carton,plastique,surgelé,PAP21,PAP05",Trattoria Alfredo,"Frozen foods,Meals,Pizzas pies and quiches,Frozen pizzas and pies,Pizzas,Frozen pizzas,fr:Pizza-marguarita",,Lidl,France,"farine de _blé_, 31.6% tomates concassées, 13% fromage (_lait_) (6.5% Mozzarella, 6.5% Edam), eau, huile de colza, sel, levure de boulanger, sucre, _lait_ entier en poudre, levain de _blé_ déshydraté (farine de _blé_, eau), basilic, origan, extrait de malt d'_orge_, poudre de lactosérum (_lait_), oignon en poudre, ail en granulés, poivre, farines de malt torréfié (_blé_, _orge_), carottes en poudre.",300 g,Frozen foods,http://en.openfoodfacts.org/images/products/200/000/001/7906/front.3.400.jpg,881.0,4.8,2.1,31.5,5.8,,9.3,1.0,0.394,
http://world-en.openfoodfacts.org/product/2000000019307/haltbare-fettarme-milch-milbona,Haltbare fettarme Milch,1 l,"Tetra Brik Aseptic,VerpackV-84",Milbona,"Dairies,Milks,Homogenized milks,Pasteurised milks,UHT milks,Semi-skimmed milks","German Agricultural Society,FSC,de:DLG Jährlich Prämiert,FSC-C014047,FSC Mix",LIDL,Germany,"H fettarme Milch ultrahocherhitzt, homogenisiert, 1,5% Fett",250 ml,Dairies,http://en.openfoodfacts.org/images/products/200/000/001/9307/front.15.400.jpg,200.0,1.52,1.0,4.92,4.92,,3.52,0.132,0.052,
http://world-en.openfoodfacts.org/product/2000000024630/biscuit-chocolat-cereales-gerlinea,Biscuit chocolat céréales,2 BISCUITS,4 SACHET DE 4 BISCUITS,Gerlinéa,"Sugary snacks,Biscuits and cakes,Biscuits",,,France,"graisse de palme non hydrogénée, lécithines de soja, tartrates de potassium, Fructooligosaccharides, arômes, lactosérum, carbonates de sodium, carbonates d'ammonium, lécithines de colza, lactose, protéines de lait, fer",2 BISCUITS,Sugary snacks,http://en.openfoodfacts.org/images/products/200/000/002/4630/front.8.400.jpg,1824.0,16.0,7.5,46.0,15.0,8.0,23.0,0.98,0.385826772,
http://world-en.openfoodfacts.org/product/2000000025539/12-bouchees-a-garnir-narvik,12 Bouchées à Garnir ,"300 g [Même code barre 26017020 pour 8 Bouchées en forme de Poisson à Garnir, voir 26017020]","Boîte,Carton,Sachet plastique,Emballées par 3 pièces","Narvik,Aldi Einkauf GmbH & Compagnie-oHG,Distribution Pidy France (DPF)","fr:Bouchees,fr:Feuilletes-a-garnir","Green Dot,fr:Eco-emballages",Aldi,France,"Farine de _blé_ (gluten), margarine (matière grasse végétale (palme), eau, sel, émulsifiant : E 471, correcteur d'acidité : E 330, colorant : E160a, arôme), eau, sel.",25 g (Cet emballage contient 12 portions),fr:Bouchees,http://en.openfoodfacts.org/images/products/200/000/002/5539/front.4.400.jpg,2307.0,36.2,19.2,48.0,1.2,,7.6,1.4,0.551181102,
http://world-en.openfoodfacts.org/product/2000000026316/thai-jasmin-premium-langkorn-reis-golden-sun,Thai Jasmin Premium Langkorn Reis,1 kg,VerpackV-7,Golden Sun,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Rices,Aromatic rices,Indica rices,Long grain rices,Brown rices,Jasmine rice,Brown Jasmine rices",,Lidl,Germany,Langkorn Jasmin Reis.,"62,5 g",Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/200/000/002/6316/front.11.400.jpg,1604.0,1.8,0.6,82.0,0.2,,7.7,0.1,0.039370079,
http://world-en.openfoodfacts.org/product/20000165/kalifornische-pflaumen-getrocknet-entsteint-essfertig-alesto,"Kalifornische Pflaumen getrocknet, entsteint & essfertig",500 g,VerpackV-81,Alesto,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Dried prunes,de:Entsteinte-pflaumen",,LIDL,Germany,"Pflaumen getrocknet, Konservierungsstoff: Kaliumsorbat.",,Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/20000165/front.7.400.jpg,970.0,0.3,0.1,56.5,31.3,,2.1,0.03,0.011811024,
http://world-en.openfoodfacts.org/product/20000554/thon-entier-au-naturel-nixe,Thon Entier au Naturel,195 g e / 150 g égoutté,"Conserve,Métal,Fer,FE,40","Nixe,Lidl","Canned foods,Seafood,Fishes,Canned fishes,Tunas,Tropical tunas,Canned tunas,Skipjack tuna,Tuna in brine,fr:Thons entiers","Green Dot,fr:Pêché au chalut,fr:Pêché au filet maillant,fr:Safe",Lidl,France,_Thon_ listao (Katsuwonus Pelamis).,,Canned foods,http://en.openfoodfacts.org/images/products/20000554/front.3.400.jpg,456.0,1.0,0.5,0.0,0.0,0.0,25.0,1.01,0.397637795,
http://world-en.openfoodfacts.org/product/20000707/fettarmer-joghurt-mild-landfein,fettarmer Joghurt mild,500 g,06 PS,Landfein,"Dairies,Yogurts","German Agricultural Society,2014 Gold medal of the German Agricultural Society,Gold medal of the German Agricultural Society",Netto,Germany,"fettarme _Milch_, _Magermilchkonzentrat_, Fermentationskulturen: S. thermophilus, L. acidophilus",,Dairies,http://en.openfoodfacts.org/images/products/20000707/front.8.400.jpg,263.0,1.5,1.0,6.4,6.4,0.0,5.2,0.18,0.070866142,
http://world-en.openfoodfacts.org/product/20001056/miel-de-fleurs-cremeux-marlene,Miel de Fleurs Crémeux,500 g,"Plastique,Verre,flacon,70","Marlene,Lidl","Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,fr:Miels de fleurs,fr:Miels crémeux","Not advised for specific people,Green Dot,Not recommended for children under 3 years,fr:Deconseille-aux-enfants-de-moins-de-1-an",Lidl,France,Miel de fleurs,,Spreads,http://en.openfoodfacts.org/images/products/20001056/front.8.400.jpg,1322.0,7.78,0.0,78.6,0.07,,0.4,0.0,0.0,
http://world-en.openfoodfacts.org/product/20001308/almond-gelatelli,Almond,540 g (6 x 90 g),"21 PAP,05 PP,50 FOR,Green dot,?","Gelatelli,Lidl","Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream bars,Vanilla ice cream bars","Sustainable farming,UTZ Certified,UTZ Certified Cacao",Lidl,"France,Germany,Sweden","_lait_ écrémé, sucre, lactosérum (_lait_), graisse de coco, sirop de glucose-fructose, beurre de cacao, 6% morceaux d'_amandes_, protéines de _lait_, beurre concentré (_lait_), _lait_ écrémé en poudre, pâte de cacao, émulsi?ants : mono- et diglycérides d'acides gras, lécithines (_soja_), polyricinoléate de polyglycérol; arôme naturel de vanille Bourbon, stabilisants : farine de graines de caroube, gomme guar; concentré colorants de plantes et de fruits (carotte, potiron, carthame, citron), extrait de gousses de Vanille moulues, arôme naturel de vanille. Chocolat au Iait : cacao : 25% minimum ; matière sèche issue du Iait : 14% minimum.",120 ml,Desserts,http://en.openfoodfacts.org/images/products/20001308/front.8.400.jpg,1394.0,21.0,13.3,31.3,29.6,0.0,4.5,0.2,0.078740157,
http://world-en.openfoodfacts.org/product/20001674/deliziosa-salame-trattoria-alfredo,Deliziosa Salame,1050 g (3 x 350 g),"04,21",Trattoria Alfredo,"Frozen foods,Frozen pizzas and pies,Frozen pizzas",,,Germany,"_Weizenmehl_, 30% zerkleinerte Tomaten, 15,2% Käse (7,6% _Mozzarella_, 7,6% _Edamer_), 12,5% Edel-Salami (100 g hergestellt aus 137 g Schweinefleisch, Speck, Speisesalz, Konservierungsstoff: Natriumnitrit, Gewürze, Antioxidationsmittel: Natriumisoascorbat, Extrakt aus Rosmarin; Gewürzextrakte, Dextrose, Rauch), Rapsöl, Backhefe, Zucker, Speisesalz, Trinkwasser, natives Olivenöl extra, Basilikum, modifizierte Kartoffelstärke, Oregano, Paprika, Schwrzer Pfeffer, hydrolysiertes Maiseiweiß, _Vollmilchpulver_, Weizensauerteig getrocknet (_Weizenmehl_, Trinkwasser), _Gerstenmalzextrakt_, _Süßmolkenpulver_, geröstetes Malzmehl (_Weizen_, _Gerste_)",350 g,Frozen foods,http://en.openfoodfacts.org/images/products/20001674/front.11.400.jpg,996.0,9.9,4.4,25.5,3.9,,10.5,1.2,0.472440945,
http://world-en.openfoodfacts.org/product/20001797/15-batonnets-de-poisson-filet-de-colin-d-alaska-ou-15-batonnets-de-colin-d-alaska-surgele-ocean-sea,"15 Bâtonnets de poisson (Filet de Colin d'Alaska) ou 15 Bâtonnets de Colin d'Alaska, Surgelé",450 g (15 x 30 g),"Surgelé,Boîte,Carton 22","Ocean Sea,Ocean Trader,Lidl Stiftung & Co. KG","Frozen foods,Meals,Breaded products,Breaded fish,Frozen ready-made meals,Breaded Hake fish","No colorings,Green Dot,No flavour enhancer,fr:Eco-emballages",Lidl,France,"Filet de colin d'Alaska (Theragra chalcogramma)65 %, farine de blé, eau, huile végétale, amidon de pommes de terre, sel, épice.","210 g pour ocean trader, 150 g pour ocean sea",Frozen foods,http://en.openfoodfacts.org/images/products/20001797/front.13.400.jpg,757.0,7.9,1.0,15.2,0.5,1.0,11.9,0.75,0.295275591,
http://world-en.openfoodfacts.org/product/20001902/schlagsahne-milbona,Schlagsahne,200 g,"Kunststoff,05 PP,?",Milbona,"Dairies,Schlagsahne","German Agricultural Society,Dlg-jahrlich-pramiert",Lidl,"Germany,United States","_Schlagsahne_, Stabilisator: Carrageen",40 g,Dairies,http://en.openfoodfacts.org/images/products/20001902/front.8.400.jpg,1207.0,30.0,20.0,3.2,3.2,,2.5,0.08,0.031496063,
http://world-en.openfoodfacts.org/product/20001933/speisequark-magerstufe-milbona,Speisequark Magerstufe,500 g,"Plastik,81,41,packung,Packung",Milbona,"Dairies,Cheeses,Cream cheeses,Quark,Lean quark","German Agricultural Society,de:DLG Jährlich Prämiert,2014 Gold medal of the German Agricultural Society,Gold medal of the German Agricultural Society",Lidl,Germany,Speisequark Magerstufe,,Dairies,http://en.openfoodfacts.org/images/products/20001933/front.20.400.jpg,285.0,0.2,0.1,4.3,4.3,,12.0,0.1,0.039370079,
http://world-en.openfoodfacts.org/product/20001940/speisequark-20-fett-i-tr-milbona,Speisequark 20% Fett i. Tr.,250 g,"Kunststoff,41 ALU",Milbona,"Dairies,Cheeses,Cream cheeses,Quark,Quark with 20% fat in dry mass","German Agricultural Society,de:DLG Jährlich Prämiert",LIDL,Germany,Speisequark 20% Fett i. Tr.,,Dairies,http://en.openfoodfacts.org/images/products/20001940/front.12.400.jpg,427.0,4.5,3.0,4.3,4.3,,11.0,0.1,0.039370079,
http://world-en.openfoodfacts.org/product/20001957/speisequark-40-fett-i-tr-milbona,Speisequark 40% Fett i. Tr.,250 g,"Kunststoff,41 ALU",Milbona,"Dairies,Cheeses,Cream cheeses,Quark,Creamy quark","German Agricultural Society,de:DLG Jährlich Prämiert",Lidl,Germany,Speisequark 40% Fett i. Tr.,,Dairies,http://en.openfoodfacts.org/images/products/20001957/front.13.400.jpg,596.0,10.0,6.6,4.3,4.3,,9.0,0.1,0.039370079,
http://world-en.openfoodfacts.org/product/20002183/cottage-cheese-milbona,Cottage Cheese,200 g,"PP 05,Alu",Milbona,"Dairies,Cheeses,Cream cheeses",,Lidl,"Germany,Switzerland","Lait pasteurisé,  sel de cuisine,  ferments d'affinage,  présure microbiologique ",,Dairies,http://en.openfoodfacts.org/images/products/20002183/front.8.400.jpg,410.0,4.5,3.0,2.8,2.8,0.0,11.5,0.75,0.295275591,
http://world-en.openfoodfacts.org/product/20002251/hirtenkase-eridanous,Hirtenkäse,250 g,"Kunststoff,07","Eridanous,Milbona","Dairies,Cheeses",,Lidl,Germany,"pasteurisierte _Kuhmilch_, Speisesalz, Käsereikulturen, mikrobielles Lab",,Dairies,http://en.openfoodfacts.org/images/products/20002251/front.11.400.jpg,1117.0,21.0,15.1,1.0,1.0,,19.0,2.9,1.141732283,
http://world-en.openfoodfacts.org/product/20002336/emmentaler-am-stuck-milbona,Emmentaler am Stück,400 g,"07,Kunststoff","Milbona,Goldsteig","Dairies,Cheeses,Cooked pressed cheeses,Cow Cheeses,Emmentaler",No lactose,Lidl,Germany,"Pasteurisierte _Kuhmilch_, Speisesalz, mikrobielles Lab, Käsereikulturen (enthält _Milch_)",50 g,Dairies,http://en.openfoodfacts.org/images/products/20002336/front.17.400.jpg,1612.0,29.5,21.0,0.1,0.1,,30.5,0.8,0.31496063,
http://world-en.openfoodfacts.org/product/20003012/ceylon-assam-schwarzer-tee-lord-nelson,Ceylon-Assam Schwarzer Tee,"87,5g","21,PAP",Lord Nelson,"Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Herbal teas,Teas,Black teas,Non-sugared beverages","FSC,FSC Mix",Lidl,Germany,Schwarzer Tee,,Beverages,http://en.openfoodfacts.org/images/products/20003012/front.10.400.jpg,3.0,0.1,0.1,0.1,0.1,,0.2,0.01,0.003937008,
http://world-en.openfoodfacts.org/product/20003142/weizenmehl-navarre,Weizenmehl,1 kg,"papier,sachet,22 PAP,boîte,tüte(n),pièce","Navarre,Belbake,Frießinger Mühle","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Flours,Cereal flours,Wheat flours,Wheat flour T405",fr:Blé français,Lidl,"France,Germany",100% farine de blé.,,Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/20003142/front.9.400.jpg,1465.0,1.3,0.2,73.5,1.5,2.5,9.3,0.0254,0.01,
http://world-en.openfoodfacts.org/product/20003166/zarte-haferflocken-crownfield,Zarte Haferflocken,500 g,"Paperbag,VerpackV-22,VerpackV-PAP,paperbag","Crownfield,Fortin","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Oat flakes","German Agricultural Society,2014 Gold medal of the German Agricultural Society,Gold medal of the German Agricultural Society",LIDL,Germany,Hafervollkornflocken Kleinblatt,40 g,Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/20003166/front.25.400.jpg,1558.0,7.0,1.3,58.7,0.7,9.0,13.5,0.01,0.003937008,
http://world-en.openfoodfacts.org/product/20003371/sultaninen-belbake,Sultaninen,250 g,"Kunststoff,5 OPP,tüte(n),Plastique",Belbake,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Raisins,Sultana raisins",,LIDL,"France,Germany","Sultaninen, Baumwollsaatöl",30 g,Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/20003371/front.9.400.jpg,1294.0,0.6,0.2,68.6,67.7,,2.5,0.05,0.019685039,
http://world-en.openfoodfacts.org/product/20003432/amandes-en-poudre-maerschimport,Amandes en poudre,200 g,"Sachet,Plastique,Plastique 05,Polypropylène,sachet","Maerschimport,Lidl","Plant-based foods and beverages,Plant-based foods,Groceries,Flours,Nuts and their products,Nut flours,Almond meal",Green Dot,Lidl,France,Amandes,,Groceries,http://en.openfoodfacts.org/images/products/20003432/front.3.400.jpg,2590.0,53.0,4.5,5.7,5.6,9.4,24.0,0.0,0.0,
http://world-en.openfoodfacts.org/product/20003463/spaghetti-combino,Spaghetti,500 g,"Sachet plastique,Plastique 05 (PP)","Combino,Lidl Stiftung & Co. KG","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,Spaghetti,fr:Spaghettis au blé dur","fr:Eco-emballages,fr:Fabrique-et-conditionne-en-italie,fr:Gruner-punkt,fr:Prodotto-in-italia","Lidl,Oncos","France,Germany,Romania,United Kingdom,fr:Scotland",Semoule de _blé_ dur.,,Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/20003463/front.22.400.jpg,1483.0,1.2,0.3,71.0,3.2,3.5,12.0,0.0,0.0,
